ID	New_col	Original_col	Family	Size
MZ501271	0b8c0b	FFFFFF	family_2	39095
AB863625	0b8c0b	FFFFFF	family_2	40471
LC644973	0b8c0b	FFFFFF	family_2	50652
KP792623	0b8c0b	FFFFFF	family_2	36315
GQ421471	0b8c0b	FFFFFF	family_2	36674
MW824386	0b8c0b	FFFFFF	family_2	52297
JQ801337	0b8c0b	FFFFFF	family_2	38682
EU124666	0b8c0b	FFFFFF	family_2	37313
OL762410	0b8c0b	FFFFFF	family_2	36470
MW824401	0b8c0b	FFFFFF	family_2	37984
KX257490	0b8c0b	FFFFFF	family_2	36753
KJ395778	0b8c0b	FFFFFF	family_2	41529
ON014753	0b8c0b	FFFFFF	family_2	36043
MZ127829	0b8c0b	FFFFFF	family_2	41771
MT119766	0b8c0b	FFFFFF	family_2	39980
OK041467	0b8c0b	FFFFFF	family_2	35826
JX676771	0b8c0b	FFFFFF	family_2	42689
AP019415	0b8c0b	FFFFFF	family_2	42551
ON778006	0b8c0b	FFFFFF	family_2	45929
OM418631	0b8c0b	FFFFFF	family_2	42322
MK422448	0b8c0b	FFFFFF	family_2	63032
KX231829	0b8c0b	FFFFFF	family_2	41760
JQ011317	0b8c0b	FFFFFF	family_2	44784
MT261384	0b8c0b	FFFFFF	family_2	41328
MW205203	0b8c0b	FFFFFF	family_2	40280
MH128984	0b8c0b	FFFFFF	family_2	42250
LR743529	0b8c0b	FFFFFF	family_2	43861
AY605181	0b8c0b	FFFFFF	family_2	42415
MN996301	0b8c0b	FFFFFF	family_2	43284
MN746332	0b8c0b	FFFFFF	family_2	45260
MN592897	0b8c0b	FFFFFF	family_2	43006
MW824406	0b8c0b	FFFFFF	family_2	44450
AY526908	0b8c0b	FFFFFF	family_2	42663
OM334891	0b8c0b	FFFFFF	family_2	41332
MK733262	0b8c0b	FFFFFF	family_2	35029
HQ377372	0b8c0b	FFFFFF	family_2	40048
MZ326864	0b8c0b	FFFFFF	family_2	35451
MT664721	0b8c0b	FFFFFF	family_2	35832
HQ332136	0b8c0b	FFFFFF	family_2	37328
AP014888	0b8c0b	FFFFFF	family_2	34713
MW452941	0b8c0b	FFFFFF	family_2	34774
MW273924	0b8c0b	FFFFFF	family_2	34606
MT375525	0b8c0b	FFFFFF	family_2	34916
MW273926	0b8c0b	FFFFFF	family_2	34069
MW273923	0b8c0b	FFFFFF	family_2	36066
MW273920	0b8c0b	FFFFFF	family_2	35448
OP131294	0b8c0b	FFFFFF	family_2	35392
MW273925	0b8c0b	FFFFFF	family_2	34938
MT647605	0b8c0b	FFFFFF	family_2	33623
KC465898	0b8c0b	FFFFFF	family_2	34892
MW273922	0b8c0b	FFFFFF	family_2	35450
MW273921	0b8c0b	FFFFFF	family_2	36388
KX198612	3a3a3b	FFFFFF	Peduoviridae_is	43277
MK672799	0bd42f	FFFFFF	Peduoviridae_7	54432
MW358929	0bd42f	FFFFFF	Peduoviridae_7	41059
AB285204	0bd42f	FFFFFF	Peduoviridae_7	47021
MW057859	0bd42f	FFFFFF	Peduoviridae_7	40280
HQ317390	0bd44a	FFFFFF	family_22	104936
MZ568826	0bd44a	FFFFFF	family_22	91102
ON529865	0bd44a	FFFFFF	family_22	69922
HQ634192	0bd44a	FFFFFF	family_22	79114
MN013189	0bd44a	FFFFFF	family_22	92627
KT001914	0bd44a	FFFFFF	family_22	85138
ON323491	0bd44a	FFFFFF	family_22	79572
KP202971	0bd44a	FFFFFF	family_22	81541
KF623293	0bd44a	FFFFFF	family_22	77837
MW824400	0bd44a	FFFFFF	family_22	83109
MW824431	0bd44a	FFFFFF	family_22	84620
FN436268	0bd44a	FFFFFF	family_22	55653
MZ605292	0bd44a	FFFFFF	family_22	81147
MK473373	0bd44a	FFFFFF	family_22	88403
MG596799	0bd44a	FFFFFF	family_22	87196
CP025907	0bd44a	FFFFFF	family_22	31521
MT778840	1111bf	FFFFFF	family_20	109652
MN988552	1111bf	FFFFFF	family_20	108441
MW677529	1111bf	FFFFFF	family_20	101599
MW677511	1111bf	FFFFFF	family_20	94639
MN988558	1111bf	FFFFFF	family_20	100469
MN988459	1111bf	FFFFFF	family_20	101119
ON857939	1111bf	FFFFFF	family_20	93386
MG189906	1111bf	FFFFFF	family_20	96542
MT110073	1111bf	FFFFFF	family_20	96852
MT735630	1111bf	FFFFFF	family_20	82712
ON075462	1111bf	FFFFFF	family_20	84375
JF713456	1111bf	FFFFFF	family_20	81509
MT735629	1111bf	FFFFFF	family_20	80294
MG720309	1111bf	FFFFFF	family_20	80500
ON015836	1111bf	FFFFFF	family_20	83482
MK559459	1111bf	FFFFFF	family_20	81566
KU728633	2409eb	FFFFFF	Haloferuviridae_4	77832
ON260818	2409eb	FFFFFF	Haloferuviridae_4	76834
MG770216	2409eb	FFFFFF	Haloferuviridae_4	50832
MN103533	2409eb	FFFFFF	Haloferuviridae_4	52581
MK494095	2409eb	FFFFFF	Haloferuviridae_4	54858
MG099946	2409eb	FFFFFF	Haloferuviridae_4	44145
MH779514	2409eb	FFFFFF	Haloferuviridae_4	42311
MN234185	2409eb	FFFFFF	Haloferuviridae_4	44998
MF141540	2409eb	FFFFFF	Haloferuviridae_4	45389
MK494105	2409eb	FFFFFF	Haloferuviridae_4	44842
MN234183	2409eb	FFFFFF	Haloferuviridae_4	44739
MH001449	2409eb	FFFFFF	Haloferuviridae_4	55178
MN908688	2409eb	FFFFFF	Haloferuviridae_4	56391
MH651187	2409eb	FFFFFF	Haloferuviridae_4	58078
MK977707	2409eb	FFFFFF	Haloferuviridae_4	49798
JF704115	2409eb	FFFFFF	Haloferuviridae_4	58714
MK061407	2409eb	FFFFFF	Haloferuviridae_4	65529
KM083128	2409eb	FFFFFF	Haloferuviridae_4	63334
MN234184	2409eb	FFFFFF	Haloferuviridae_4	38341
MF155936	2409eb	FFFFFF	Haloferuviridae_4	43344
MG925349	2409eb	FFFFFF	Haloferuviridae_4	43511
MN234195	2409eb	FFFFFF	Haloferuviridae_4	48540
AY129333	2409eb	FFFFFF	Haloferuviridae_4	57050
KF986246	2409eb	FFFFFF	Haloferuviridae_4	42240
KU935731	2409eb	FFFFFF	Haloferuviridae_4	44872
MH230879	2409eb	FFFFFF	Haloferuviridae_4	49808
KX648391	2409eb	FFFFFF	Haloferuviridae_4	49658
MN096355	2409eb	FFFFFF	Haloferuviridae_4	50513
MN234172	2409eb	FFFFFF	Haloferuviridae_4	50415
JN412591	2409eb	FFFFFF	Haloferuviridae_4	48984
KY709687	b01a4f	FFFFFF	Drexlerviridae_7	51738
MN602881	b01a4f	FFFFFF	Drexlerviridae_7	50485
KY653118	b01a4f	FFFFFF	Drexlerviridae_7	47739
MH706966	b01a4f	FFFFFF	Drexlerviridae_7	54655
OL512804	b01a4f	FFFFFF	Drexlerviridae_7	44148
MH443101	b01a4f	FFFFFF	Drexlerviridae_7	47116
HQ201308	b01a4f	FFFFFF	Drexlerviridae_7	47611
MW145137	b01a4f	FFFFFF	Drexlerviridae_7	50958
OK499971	b01a4f	FFFFFF	Drexlerviridae_7	47816
OK042081	25b51d	FFFFFF	Drexlerviridae_4	46585
ON602744	25b51d	FFFFFF	Drexlerviridae_4	48190
OP373729	25b51d	FFFFFF	Drexlerviridae_4	48797
MH023293	25b51d	FFFFFF	Drexlerviridae_4	46833
OM912979	25b51d	FFFFFF	Drexlerviridae_4	47771
MZ726796	25b51d	FFFFFF	Drexlerviridae_4	46233
OL362274	25b51d	FFFFFF	Drexlerviridae_4	47726
MK947460	25b51d	FFFFFF	Drexlerviridae_4	45126
MT227924	25b51d	FFFFFF	Drexlerviridae_4	45521
MN512538	25b51d	FFFFFF	Drexlerviridae_4	45171
OM033133	25b51d	FFFFFF	Drexlerviridae_4	48663
MK813940	25b51d	FFFFFF	Drexlerviridae_4	45698
KC542353	25b51d	FFFFFF	Drexlerviridae_4	39940
MN313256	25b51d	FFFFFF	Drexlerviridae_4	45773
KU747973	25b51d	FFFFFF	Drexlerviridae_4	45306
MK387309	25b51d	FFFFFF	Drexlerviridae_4	42261
JF974287	25b51d	FFFFFF	Drexlerviridae_4	46917
MT663720	25b51d	FFFFFF	Drexlerviridae_4	52905
MK249872	25b51d	FFFFFF	Drexlerviridae_4	46791
MT104474	25b51d	FFFFFF	Drexlerviridae_4	46593
EF579802	3a3a3b	FFFFFF	Haloferuviridae_is	46365
KX911187	3a3a3b	FFFFFF	Haloferuviridae_is	44520
KY250482	3a3a3b	FFFFFF	Haloferuviridae_is	58200
MK937613	3a3a3b	FFFFFF	Haloferuviridae_is	45751
KY203335	3a3a3b	FFFFFF	Haloferuviridae_is	46335
MN813685	32ad3d	FFFFFF	Haloferuviridae_2	42205
MN428053	32ad3d	FFFFFF	Haloferuviridae_2	45043
OP297548	32ad3d	FFFFFF	Haloferuviridae_2	42142
MT521995	32ad3d	FFFFFF	Haloferuviridae_2	42671
KU963247	32ad3d	FFFFFF	Haloferuviridae_2	47881
OP434446	32ad3d	FFFFFF	Haloferuviridae_2	49663
MK878902	32ad3d	FFFFFF	Haloferuviridae_2	54241
MK967384	32ad3d	FFFFFF	Haloferuviridae_2	51789
MT952844	32ad3d	FFFFFF	Haloferuviridae_2	54546
ON456347	32ad3d	FFFFFF	Haloferuviridae_2	47895
ON191532	32ad3d	FFFFFF	Haloferuviridae_2	46226
MH153804	32ad3d	FFFFFF	Haloferuviridae_2	53912
KR053195	32ad3d	FFFFFF	Haloferuviridae_2	41207
JN116824	32ad3d	FFFFFF	Haloferuviridae_2	39474
CP058906	32ad3d	FFFFFF	Haloferuviridae_2	43352
KY092481	32ad3d	FFFFFF	Haloferuviridae_2	38411
ON456341	32ad3d	FFFFFF	Haloferuviridae_2	38234
KY092484	32ad3d	FFFFFF	Haloferuviridae_2	40785
KY676784	32ad3d	FFFFFF	Haloferuviridae_2	39693
KY092480	32ad3d	FFFFFF	Haloferuviridae_2	39522
MZ456037	32ad3d	FFFFFF	Haloferuviridae_2	39237
MT889371	32ad3d	FFFFFF	Haloferuviridae_2	39631
ON970592	32ad3d	FFFFFF	Haloferuviridae_2	39721
MH825712	32ad3d	FFFFFF	Haloferuviridae_2	62517
MN585972	32ad3d	FFFFFF	Haloferuviridae_2	60191
MF140427	32ad3d	FFFFFF	Haloferuviridae_2	59707
MH229862	32ad3d	FFFFFF	Haloferuviridae_2	55137
ON456348	32ad3d	FFFFFF	Haloferuviridae_2	54732
MZ357096	32ad3d	FFFFFF	Haloferuviridae_2	40289
MK737942	32ad3d	FFFFFF	Haloferuviridae_2	41826
MT310855	32ad3d	FFFFFF	Haloferuviridae_2	42917
MT723933	32ad3d	FFFFFF	Haloferuviridae_2	82100
MT316461	32ad3d	FFFFFF	Haloferuviridae_2	81216
MK279841	32ad3d	FFFFFF	Haloferuviridae_2	83219
KU052037	39249e	FFFFFF	family_3	52291
OL396571	39249e	FFFFFF	family_3	44715
OK094664	39249e	FFFFFF	family_3	47902
MT740726	39249e	FFFFFF	family_3	46541
LC644976	39249e	FFFFFF	family_3	53798
MN013086	39249e	FFFFFF	family_3	45702
OM046622	39249e	FFFFFF	family_3	44903
MF356679	39249e	FFFFFF	family_3	91159
MH445380	39249e	FFFFFF	family_3	126505
MZ188976	39249e	FFFFFF	family_3	93825
MG710528	39249e	FFFFFF	family_3	88114
KT898134	39249e	FFFFFF	family_3	60012
MW824390	39249e	FFFFFF	family_3	58955
CP002495	39249e	FFFFFF	family_3	30505
HQ316580	39249e	FFFFFF	family_3	57611
MW749009	39249e	FFFFFF	family_3	60862
KC262634	39249e	FFFFFF	family_3	65270
MT152150	39249e	FFFFFF	family_3	63753
MT491207	39249e	FFFFFF	family_3	63030
MF042361	39249e	FFFFFF	family_3	62978
MW460249	39249e	FFFFFF	family_3	61818
MT361768	39249e	FFFFFF	family_3	64657
OM283127	39249e	FFFFFF	family_3	61182
AY349011	39249e	FFFFFF	family_3	63882
AF448724	39249e	FFFFFF	family_3	57416
KY417925	39249e	FFFFFF	family_3	59782
MF403009	39249e	FFFFFF	family_3	58966
MT251347	39249e	FFFFFF	family_3	62420
MK618715	39249e	FFFFFF	family_3	62853
MH426726	39249e	FFFFFF	family_3	61401
JN585957	39249e	FFFFFF	family_3	60714
MT135176	39249e	FFFFFF	family_3	43329
KT630649	39249e	FFFFFF	family_3	40740
OM284015	39249e	FFFFFF	family_3	38890
MW057855	39249e	FFFFFF	family_3	39447
OK570186	39249e	FFFFFF	family_3	75899
MK798143	39249e	FFFFFF	family_3	49990
FQ482085	39249e	FFFFFF	family_3	47279
GQ866233	39249e	FFFFFF	family_3	43970
MW749008	39249e	FFFFFF	family_3	48503
AP014629	39249e	FFFFFF	family_3	43129
MK448228	39249e	FFFFFF	family_3	46342
MK448230	39249e	FFFFFF	family_3	47305
MH179474	39249e	FFFFFF	family_3	43755
JQ177063	39249e	FFFFFF	family_3	43551
MK804891	39249e	FFFFFF	family_3	43233
HE806280	39249e	FFFFFF	family_3	46387
MH853788	39249e	FFFFFF	family_3	46499
HM368260	39249e	FFFFFF	family_3	45159
JX560521	39249e	FFFFFF	family_3	43216
MH809532	39249e	FFFFFF	family_3	44121
MT740735	39249e	FFFFFF	family_3	44966
AF543311	39249e	FFFFFF	family_3	48247
OK275494	39249e	FFFFFF	family_3	47500
MG944229	39249e	FFFFFF	family_3	49612
LC644971	39249e	FFFFFF	family_3	34100
MG640035	39249e	FFFFFF	family_3	39826
OM837731	39249e	FFFFFF	family_3	39824
JQ177065	39249e	FFFFFF	family_3	48454
MK340941	39249e	FFFFFF	family_3	42670
MT701587	39249e	FFFFFF	family_3	44942
OK665842	39249e	FFFFFF	family_3	59762
KJ018212	39249e	FFFFFF	family_3	43510
MN922296	39249e	FFFFFF	family_3	43405
OM654375	39249e	FFFFFF	family_3	43647
ON146294	39249e	FFFFFF	family_3	42921
AY616033	39249e	FFFFFF	family_3	47399
JQ177061	39249e	FFFFFF	family_3	44492
EU876853	39249e	FFFFFF	family_3	47453
MZ220765	39249e	FFFFFF	family_3	44032
MK798142	39249e	FFFFFF	family_3	49744
MG432137	39249e	FFFFFF	family_3	48659
MZ504995	39249e	FFFFFF	family_3	50707
MG575421	39249e	FFFFFF	family_3	42396
MZ424863	39249e	FFFFFF	family_3	43433
OM735461	39249e	FFFFFF	family_3	38270
MT366939	39249e	FFFFFF	family_3	50482
JF974295	39249e	FFFFFF	family_3	40803
CP013974	39249e	FFFFFF	family_3	59759
MG711465	39249e	FFFFFF	family_3	61716
JQ177062	39249e	FFFFFF	family_3	45354
MN530981	39249e	FFFFFF	family_3	35379
LT992259	39249e	FFFFFF	family_3	38622
ON470579	39249e	FFFFFF	family_3	42743
KT716399	39249e	FFFFFF	family_3	55349
MW602648	39249e	FFFFFF	family_3	57011
MK673511	39249e	FFFFFF	family_3	53965
KX826077	39249e	FFFFFF	family_3	54894
OM621816	39249e	FFFFFF	family_3	71070
MN734436	39249e	FFFFFF	family_3	52229
MN988530	39249e	FFFFFF	family_3	54317
MN988500	39249e	FFFFFF	family_3	54496
MN988465	39249e	FFFFFF	family_3	54519
MN988554	39249e	FFFFFF	family_3	55716
ON014755	39249e	FFFFFF	family_3	54544
MW460247	39249e	FFFFFF	family_3	66147
EF153632	39249e	FFFFFF	family_3	72415
MW460246	39249e	FFFFFF	family_3	70038
MT708549	39249e	FFFFFF	family_3	68393
MN062189	39249e	FFFFFF	family_3	68745
MK373777	39249e	FFFFFF	family_3	72472
KM434184	39249e	FFFFFF	family_3	68871
MG018926	39249e	FFFFFF	family_3	67498
MH059633	39249e	FFFFFF	family_3	61939
ON529861	39249e	FFFFFF	family_3	67528
MN038177	39249e	FFFFFF	family_3	73168
MK416022	3be3dd	FFFFFF	Drexlerviridae_5	57402
MK416008	3be3dd	FFFFFF	Drexlerviridae_5	32010
MN585195	3be3dd	FFFFFF	Drexlerviridae_5	48430
HM208537	3be3dd	FFFFFF	Drexlerviridae_5	49576
JQ780327	3be3dd	FFFFFF	Drexlerviridae_5	39974
OL964755	3be3dd	FFFFFF	Drexlerviridae_5	40808
MK524177	3be3dd	FFFFFF	Drexlerviridae_5	57228
CP000622	C2C417	FFFFFF	Peduoviridae	37446
KX669658	C2C417	FFFFFF	Peduoviridae	41655
JF974315	C2C417	FFFFFF	Peduoviridae	37378
MH238466	C2C417	FFFFFF	Peduoviridae	33296
MG711460	C2C417	FFFFFF	Peduoviridae	36636
CP084202	C2C417	FFFFFF	Peduoviridae	31946
OK085710	C2C417	FFFFFF	Peduoviridae	56975
MT591577	C2C417	FFFFFF	Peduoviridae	39492
KY939598	C2C417	FFFFFF	Peduoviridae	35132
HQ316581	C2C417	FFFFFF	Peduoviridae	33277
MZ568828	C2C417	FFFFFF	Peduoviridae	33702
MH766655	C2C417	FFFFFF	Peduoviridae	37136
EU822883	C2C417	FFFFFF	Peduoviridae	37635
MK388859	C2C417	FFFFFF	Peduoviridae	35232
KP137440	C2C417	FFFFFF	Peduoviridae	33755
JF832915	C2C417	FFFFFF	Peduoviridae	37151
JN190960	C2C417	FFFFFF	Peduoviridae	39283
JF974307	C2C417	FFFFFF	Peduoviridae	40231
KT381864	C2C417	FFFFFF	Peduoviridae	39591
KX077179	C2C417	FFFFFF	Peduoviridae	38773
AB916497	C2C417	FFFFFF	Peduoviridae	41941
MZ568827	C2C417	FFFFFF	Peduoviridae	37883
MK934841	C2C417	FFFFFF	Peduoviridae	41303
MT872956	C2C417	FFFFFF	Peduoviridae	37611
MH643778	C2C417	FFFFFF	Peduoviridae	46148
MF975721	C2C417	FFFFFF	Peduoviridae	35306
MZ326866	C2C417	FFFFFF	Peduoviridae	44659
MZ516527	452cbf	FFFFFF	Peduoviridae_5	39546
ON041214	452cbf	FFFFFF	Peduoviridae_5	45393
MG696115	3a3a3b	FFFFFF	Drexlerviridae_is	39825
MN698245	c9c22c	FFFFFF	Drexlerviridae_1	31577
MN698240	c9c22c	FFFFFF	Drexlerviridae_1	32480
MN698246	c9c22c	FFFFFF	Drexlerviridae_1	32478
MN698248	c9c22c	FFFFFF	Drexlerviridae_1	32226
MZ501269	5a92ed	FFFFFF	Drexlerviridae_2	46062
MN070121	5a92ed	FFFFFF	Drexlerviridae_2	44342
KT287080	5a92ed	FFFFFF	Drexlerviridae_2	40491
ON602745	5a92ed	FFFFFF	Drexlerviridae_2	39791
ON087563	5a92ed	FFFFFF	Drexlerviridae_2	39857
KM272358	5a92ed	FFFFFF	Drexlerviridae_2	41880
KF148055	5a92ed	FFFFFF	Drexlerviridae_2	43447
MH051334	5a92ed	FFFFFF	Drexlerviridae_2	42145
OL539727	5a92ed	FFFFFF	Drexlerviridae_2	45805
ON391668	5a92ed	FFFFFF	Drexlerviridae_2	43969
MK737937	5a92ed	FFFFFF	Drexlerviridae_2	44851
MN927225	5a92ed	FFFFFF	Drexlerviridae_2	45566
MK373790	5a92ed	FFFFFF	Drexlerviridae_2	47082
MH553517	5a92ed	FFFFFF	Drexlerviridae_2	42969
KF772234	5a92ed	FFFFFF	Drexlerviridae_2	43017
MK095605	5a92ed	FFFFFF	Drexlerviridae_2	46103
ON602747	5a92ed	FFFFFF	Drexlerviridae_2	47499
OM687892	5a92ed	FFFFFF	Drexlerviridae_2	48519
ON602734	5a92ed	FFFFFF	Drexlerviridae_2	48147
ON287368	5a92ed	FFFFFF	Drexlerviridae_2	44971
MW334946	5a92ed	FFFFFF	Drexlerviridae_2	45087
MK105819	5a92ed	FFFFFF	Drexlerviridae_2	39158
HQ634187	5a92ed	FFFFFF	Drexlerviridae_2	40658
JF974321	5a92ed	FFFFFF	Drexlerviridae_2	38834
KC821611	6255FE	FFFFFF	Winoviridae	34844
MN850656	6255FE	6255FE	Winoviridae	31958
MT732475	6255FE	6255FE	Winoviridae	39649
MW421584	6255FE	6255FE	Winoviridae	35195
MN812203	6255FE	6255FE	Winoviridae	34751
EU100883	6255FE	FFFFFF	Winoviridae	84201
MH673672	6255FE	FFFFFF	Winoviridae	77664
MT457475	6255FE	FFFFFF	Winoviridae	44805
KF356198	6255FE	FFFFFF	Winoviridae	41750
DQ875742	6255FE	FFFFFF	Winoviridae	40938
OP056300	6255FE	FFFFFF	Winoviridae	40617
KC821626	64e4ed	FFFFFF	Autographiviridae_5	28760
KT724718	64e4ed	FFFFFF	Autographiviridae_5	46877
MK291444	64e4ed	FFFFFF	Autographiviridae_5	39547
JQ066768	64e4ed	FFFFFF	Autographiviridae_5	40489
MW960037	64e4ed	FFFFFF	Autographiviridae_5	68522
OP484858	64e4ed	FFFFFF	Autographiviridae_5	64155
MN988496	64e4ed	FFFFFF	Autographiviridae_5	59457
MW960032	64e4ed	FFFFFF	Autographiviridae_5	68757
MN988502	64e4ed	FFFFFF	Autographiviridae_5	40181
KR093641	64e4ed	FFFFFF	Autographiviridae_5	60303
OL539441	64e4ed	FFFFFF	Autographiviridae_5	39188
MW021763	64e4ed	FFFFFF	Autographiviridae_5	42495
MH059634	64e4ed	FFFFFF	Autographiviridae_5	39826
MH884648	64e4ed	FFFFFF	Autographiviridae_5	42424
KX815270	64e4ed	FFFFFF	Autographiviridae_5	38749
KR072689	64e4ed	FFFFFF	Autographiviridae_5	38261
AJ564013	64e4ed	FFFFFF	Autographiviridae_5	46339
CP072507	64e4ed	FFFFFF	Autographiviridae_5	58864
MG835450	64e4ed	FFFFFF	Autographiviridae_5	31069
AY374448	64e4ed	FFFFFF	Autographiviridae_5	51601
KY379511	66de5b	FFFFFF	Autographiviridae_2	35802
KR060090	66de5b	FFFFFF	Autographiviridae_2	33399
JQ867100	66de5b	FFFFFF	Autographiviridae_2	31766
KJ847052	66de5b	FFFFFF	Autographiviridae_2	34773
KX982260	66de5b	FFFFFF	Autographiviridae_2	37333
MN592896	66de5b	FFFFFF	Autographiviridae_2	40580
MW900438	66de5b	FFFFFF	Autographiviridae_2	40271
KM058087	66de5b	FFFFFF	Autographiviridae_2	42205
EF537008	66de5b	FFFFFF	Autographiviridae_2	43249
MN698244	66de5b	FFFFFF	Autographiviridae_2	36945
MN988556	66de5b	FFFFFF	Autographiviridae_2	43424
MK929790	66de5b	FFFFFF	Autographiviridae_2	62362
MF074189	66de5b	FFFFFF	Autographiviridae_2	44005
MN988536	66de5b	FFFFFF	Autographiviridae_2	48682
AB910393	66de5b	FFFFFF	Autographiviridae_2	64113
OL774570	66de5b	FFFFFF	Autographiviridae_2	65284
KX365747	66de5b	FFFFFF	Autographiviridae_2	42685
MK574011	66de5b	FFFFFF	Autographiviridae_2	41785
MH059635	66de5b	FFFFFF	Autographiviridae_2	41436
JX880072	66de5b	FFFFFF	Autographiviridae_2	42313
OP028995	66de5b	FFFFFF	Autographiviridae_2	48822
KX119205	66de5b	FFFFFF	Autographiviridae_2	28068
JQ617284	66de5b	FFFFFF	Autographiviridae_2	26836
KX119194	66de5b	FFFFFF	Autographiviridae_2	28565
OM515228	66de5b	FFFFFF	Autographiviridae_2	31162
KX119177	66de5b	FFFFFF	Autographiviridae_2	30977
KX119195	66de5b	FFFFFF	Autographiviridae_2	32975
MW247147	66de5b	FFFFFF	Autographiviridae_2	28622
KX119200	66de5b	FFFFFF	Autographiviridae_2	31236
MT375522	66de5b	FFFFFF	Autographiviridae_2	38624
MF497422	66de5b	FFFFFF	Autographiviridae_2	43573
AY575774	66de5b	FFFFFF	Autographiviridae_2	43783
JF344709	66de5b	FFFFFF	Autographiviridae_2	23931
OM519319	66de5b	FFFFFF	Autographiviridae_2	46532
MN698241	66de5b	FFFFFF	Autographiviridae_2	57595
MN698239	66de5b	FFFFFF	Autographiviridae_2	60878
MT028492	66de5b	FFFFFF	Autographiviridae_2	41227
MW291508	66de5b	FFFFFF	Autographiviridae_2	39440
MK203850	66de5b	FFFFFF	Autographiviridae_2	38080
KY883656	66de5b	FFFFFF	Autographiviridae_2	40007
MW824387	66de5b	FFFFFF	Autographiviridae_2	40729
KY056619	66de5b	FFFFFF	Autographiviridae_2	41446
KT820175	66de5b	FFFFFF	Autographiviridae_2	53160
MN988542	66de5b	FFFFFF	Autographiviridae_2	43069
AF396866	66de5b	FFFFFF	Autographiviridae_2	49534
JF314845	66de5b	FFFFFF	Autographiviridae_2	22162
MW980068	66de5b	FFFFFF	Autographiviridae_2	44197
KM233261	66de5b	FFFFFF	Autographiviridae_2	42092
MT584811	66de5b	FFFFFF	Autographiviridae_2	40019
MK605244	754d0d	FFFFFF	family_19	147033
MG209611	754d0d	FFFFFF	family_19	112793
HQ683709	754d0d	FFFFFF	family_19	95299
KY296500	754d0d	FFFFFF	family_19	35736
KU234533	754d0d	FFFFFF	family_19	68304
KU234532	754d0d	FFFFFF	family_19	64960
MZ078141	754d0d	FFFFFF	family_19	68626
MT426122	754d0d	FFFFFF	family_19	65429
MG450654	7a042d	FFFFFF	family_18	139069
ON014754	7a042d	FFFFFF	family_18	142856
OP394178	7a042d	FFFFFF	family_18	182372
OM732337	3a3a3b	FFFFFF	Mesyanzhinovviridae_is	43008
MG596800	e8d30e	FFFFFF	Mesyanzhinovviridae_3	47820
MK608336	e8d30e	FFFFFF	Mesyanzhinovviridae_3	42882
