set	name	start	end	strand	col	lty	lwd	pch	cex	gene_type	fill
NC_028092.1	NC_028092.1_110	83120	84100	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_111	84158	85294	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_112	85297	85698	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_113	85726	86403	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_114	86421	86906	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_115	86937	87158	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_116	87159	88004	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_117	88038	88415	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_118	88415	88981	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_119	89032	89454	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_120	89480	90226	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_121	90201	90800	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_122	90812	91756	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_123	91759	92004	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_124	92028	92300	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_125	92176	92538	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_126	92565	93158	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_127	93166	94446	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_128	94502	95611	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_129	95680	95919	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_130	95952	106280	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_131	106316	107032	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_132	107086	107478	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_133	107481	107903	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_134	107909	108286	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_135	108324	108776	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_136	108801	109316	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_137	109336	110727	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_138	110750	111013	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_139	111046	111444	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_140	111467	112189	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_141	112153	112881	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_142	112842	114290	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_143	114524	114733	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_144	114917	116368	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_145	116380	116649	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_146	116660	116815	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_147	116822	117133	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_148	117130	117741	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_149	117770	120013	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_150	120043	120273	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_151	120312	120719	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_152	120697	121056	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_153	121065	121445	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_154	121411	121899	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_155	121944	122798	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_156	122841	123698	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_157	123722	124318	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_158	124352	124582	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_159	124625	124984	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_160	124913	125599	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_161	125639	125851	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_162	125848	126120	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_163	126137	127402	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_164	127415	127828	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_165	127863	128339	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_166	128409	129101	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_167	129181	129597	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_168	129676	130845	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_169	130890	131435	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_170	131475	132413	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_171	132420	133148	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_172	133167	133796	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_173	133819	134775	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_174	134699	135496	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_175	135553	136149	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_176	136158	136526	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_177	136495	136905	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_178	136912	138813	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_179	138838	140781	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_180	140817	141086	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_181	141185	142453	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_182	142931	143599	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_183	143756	144097	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_184	144098	144538	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_185	144538	145233	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_186	145257	145862	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_187	145869	146327	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_188	146333	147181	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_189	147187	147441	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_190	147596	148342	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_191	148376	149320	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_192	149342	149698	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_193	149695	150492	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_194	150529	150822	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_195	151227	151775	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_196	151772	152341	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_197	152358	153338	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_198	153509	154123	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_199	154101	155192	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_200	155324	156136	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_201	156147	156512	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_202	156694	157158	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_203	157103	157609	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_204	157606	158385	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_205	158456	159637	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_206	159650	160123	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_207	160120	160380	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_208	160391	160669	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_209	160699	161460	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_210	161484	161828	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_211	161850	162209	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_212	162251	162604	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_213	162601	162993	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_214	163003	163368	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_215	163392	163703	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_216	163727	164335	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_217	164309	164860	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_218	164896	165030	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_219	165036	165464	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_220	165448	165861	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_221	165902	167746	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_222	167784	168206	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_223	168256	168495	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_224	168666	169058	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_225	169075	169635	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_226	169672	170085	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_227	170180	170413	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_228	170392	170742	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_229	170754	171755	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_230	171800	171991	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_231	171954	173054	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_232	173109	175982	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_233	175969	176334	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_234	176342	176743	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_235	176733	178079	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_236	178092	181310	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_237	181340	181678	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_238	181759	182730	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_239	182782	183153	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_240	183176	183352	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_241	183393	183770	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_242	183779	184003	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_243	183932	184882	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_244	184854	185792	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_245	185831	186133	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_246	186275	187003	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_247	187048	187215	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_248	187216	187440	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_249	187437	187538	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_250	187554	187973	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_251	188023	188370	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_252	188439	188735	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_253	188746	189051	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_254	189091	189372	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_255	189382	189957	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_256	189998	190495	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_257	190531	191127	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_258	191128	191331	-1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_259	191394	191759	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_260	192317	192511	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_261	192681	193076	1	NA	1	1	1	1	arrows	darkorchid
NC_028092.1	NC_028092.1_262	193119	193301	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_1	274	486	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_2	901	1032	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_3	1110	1490	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_4	1539	2384	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_5	2386	2628	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_6	2654	3997	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_7	4008	4940	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_8	5018	5659	1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_9	5706	5939	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_10	6129	6230	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_11	6236	6334	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_12	6353	6766	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_13	6799	8727	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_14	8784	9788	1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_15	9755	10582	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_16	10606	12372	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_17	12420	13118	1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_18	13079	13537	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_19	13527	13778	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_20	13853	14428	1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_21	14425	15150	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_22	15116	15436	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_23	15466	15897	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_24	15920	16243	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_25	16282	16650	1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_26	16613	17128	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_27	17164	17400	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_28	17440	17763	1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_29	17692	17982	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_30	17990	19510	-1	NA	1	1	1	1	arrows	darkorchid
NC_028091.1	NC_028091.1_31	19531	19980	-1	NA	1	1	1	1	arrows	darkorchid
